Fecha;Hora;Usuario;Tabla;Funcion;Accion;id_registro 
7/2/2018;14:35:0;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:35:2;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:35:42;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:35:44;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:36:35;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:36:36;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:37:48;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:37:50;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:40:49;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:40:50;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:42:19;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:42:20;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:42:48;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:42:49;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:43:8;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:43:10;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:44:19;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:44:21;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:44:52;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:44:54;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:45:9;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:45:10;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:45:36;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:45:37;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:45:53;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:45:54;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:46:17;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:46:18;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:46:43;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:46:44;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:46:56;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:46:57;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:47:13;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:47:14;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:47:25;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:47:26;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:47:27;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:47:28;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/bienes/bie_reg_bia.jsp
7/2/2018;14:49:29;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:49:30;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:51:4;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:51:6;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:51:25;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:51:26;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:53:3;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:53:5;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:54:11;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:54:12;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:0:37;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:0:38;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:1:27;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:1:29;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:2:10;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:2:11;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:2:29;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:2:31;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:3:58;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:3:59;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:4:20;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:4:22;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:4:36;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:4:38;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:6:33;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:6:34;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:6:51;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:6:52;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:7:19;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:7:20;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:9:28;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:9:30;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:9:46;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:9:47;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:10:15;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:10:17;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:11:0;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:11:2;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:12:11;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:12:13;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:12:24;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:12:26;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:12:40;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:12:41;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:13:12;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:13:14;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:13:40;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:13:41;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:14:18;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:14:19;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:16:28;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:16:29;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:16:51;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:16:53;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:17:7;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:17:8;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:17:22;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:17:24;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:17:37;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:17:38;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:17:59;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:18:1;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:18:16;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:18:17;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:18:35;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:18:37;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:18:58;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
